gene_name,dN,dS,omega
SCO5351,0.0139,0.0224,0.61899
SCO5352,0.0089,0.008,1.11626
SCO5362,0.005,0,NA
SCO5365,0.0014,0,NA
SCO5383,0,0.0202,0
SCO5388,0,0.0244,0
SCO5405,0,0,0
SCO5416,0,0.0281,0
SCO5417,0.0075,0.0064,1.17532
SCO5418,0,0.0522,0
SCO5419,0.0085,0,NA
SCO5422,0.024,0.0049,4.90642
SCO5434,0.002,0.0178,0.11002
SCO5444,0.0028,0.005,0.55288
SCO5449,0.0027,0.0175,0.15249
SCO5450,0.0019,0.0121,0.15407
SCO5454,0.0046,0,NA
SCO5469,0.0039,0.1668,0.02339
SCO5473,0.0088,0.0048,1.84065
SCO5474,0,0.0038,0
SCO5478,0.0012,0,NA
SCO5487,0,0.0001,0
SCO5491,0,0,0
SCO5495,0.0038,0.0015,2.44839
SCO5510,0.0047,0,NA
SCO5514,0.0013,0,NA
SCO5523,0,0.0022,0
SCO5524,0.0024,0.0131,0.18316
SCO5525,0.0039,0,NA
SCO5529,0.0044,0.0043,1.01213
SCO5533,0,0,0
SCO5535,0,0,0
SCO5537,0,0,0
SCO5541,0,0.0711,0
SCO5560,0.0024,0.0029,0.8253
SCO5561,0,0.0299,0
SCO5562,0.0109,0,NA
SCO5563,0,0,0
SCO5564,0,0,0
SCO5566,0,0,0
SCO5567,0.0099,0,NA
SCO5570,0,0,0
SCO5579,0,0.0087,0
SCO5583,0.0059,0.004,1.46184
SCO5586,0.004,0,NA
SCO5592,0,0,0
SCO5603,0.0042,0.0024,1.77353
SCO5604,0,0,0
SCO5626,0.0016,0,NA
SCO5656,0,0.0343,0
SCO5669,0,0,0
SCO5692,0,0,0
SCO5694,0,0,0
SCO5695,0.0029,0,NA
SCO5696,0.0114,0,NA
SCO5698,0,0,0
SCO5703,0.0087,0,NA
SCO5704,0.0028,0.0033,0.83984
SCO5705,0.0092,0,NA
SCO5706,0.0014,0.0011,1.19258
SCO5711,0.0017,0,NA
SCO5714,0,0.0503,0
SCO5716,0.0006,0.0417,0.01417
SCO5720,0.31535,7.03755,0.08242
SCO5729,1.5699,4.5015,0.34875
SCO5735,0.48915,0.438,1.121715
SCO5738,0.0099,0,NA
SCO5739,0.0056,0,NA
SCO5740,0.0037,0,NA
SCO5741,0.002,0.0569,0.03582
SCO5742,0,0,0
SCO5743,0.0095,0.0064,1.49071
SCO5744,0.0014,0,NA
SCO5747,0,0,0
SCO5782,0,0.022,0
SCO5785,0.0024,0,NA
SCO5787,0.0071,0.0015,4.59955
SCO5794,0,0,0
SCO5795,0,0.0023,0
SCO5798,0,0.0137,0
SCO5814,0,0.0291,0
SCO5816,0.0104,0,NA
SCO5826,0.0077,0.0057,1.34641
SCO5830,0.0103,0.0231,0.44636
SCO5833,0,0,0
SCO5836,0.0004,0.041,0.01075
SCO5847,0.006,0,NA
SCO5854,0.0049,0.0085,0.57638
SCO5858,0,0,0
SCO5877,0.0041,0,NA
SCO5884,0,0.043,0
SCO5885,0,0.023,0
SCO5886,0.0009,0.0254,0.03467
SCO5887,0,0,0
SCO5888,0.0066,0.0025,2.70902
SCO5889,0,0,0
SCO5890,0.0022,0,NA
SCO5905,0.0028,0.0112,0.24689
SCO5912,0.0034,0.0018,1.84165
SCO5913,0.044,0.0183,2.40795
SCO5914,0.0027,0.0044,0.60976
SCO5929,0,0.0197,0
SCO5930,0.0086,0.0054,1.59443
SCO5932,0.0055,0.004,1.38024
SCO5956,0.0021,0,NA
SCO5960,0.0033,0,NA
SCO5961,0,0,0
SCO5964,0.0018,0.0143,0.12586
SCO5981,0,0.0099,0
SCO5984,0.0067,0,NA
SCO5985,0.0035,0,NA
SCO5986,0,0,0
SCO5990,0.0106,0,NA
SCO5991,0.0038,0.0083,0.46197
SCO5994,0.0107,0.0127,0.84166
SCO5998,0,0.1799,0
SCO6007,0.0021,0,NA
SCO6010,0.0016,0,NA
SCO6020,0,0.0329,0
SCO6022,0.0008,0,NA
SCO6028,0,0.0339,0
SCO6029,0,0.0208,0
SCO6030,0,0.0174,0
SCO6031,0.0031,0,NA
SCO6058,0.0083,0.0106,0.78613
SCO6062,0.0053,0.0104,0.50801
SCO6086,0.003,0.0075,0.39641
SCO6097,0,0.0468,0
SCO6107,0.0035,0,NA
SCO6110,0,0.0116,0
SCO6127,0.0009,0,NA
SCO6129,0.0015,0.0235,0.06311
SCO6133,0,0.0111,0
SCO6146,0,0,0
SCO6167,0.0022,0,NA
SCO6178,0.0016,0.0437,0.03603
SCO6183,0.0042,0.0071,0.59546
SCO6211,0.0036,0,NA
SCO6223,0,0,0
SCO6224,0,0.0227,0
SCO6241,0,0.0081,0
SCO6242,0.0032,0.0036,0.88879
SCO6244,0.0019,0.0405,0.04818
SCO6248,0.0079,0.0028,2.86615
SCO6249,0,0.0337,0
SCO6256,0.0022,0,NA
SCO6257,0.0047,0.0056,0.83392
SCO6258,0.005,0,NA
SCO6259,0.0021,0,NA
SCO6262,0.002,0.0016,1.30014
SCO6268,0,0.009,0
SCO6276,0.001,0.0031,0.3244
SCO6283,0,0,0
SCO6288,0.0018,0,NA
SCO6293,0.0047,0,NA
SCO6297,0.0025,0,NA
SCO6306,0.0039,0.0293,0.1342
SCO6312,0,0.0333,0
SCO6318,0.0084,0.1137,0.07405
SCO6319,0.0168,0.0084,1.99626
SCO6324,0.0636,0.0525,1.20999
SCO6325,0.1486,0.4911,0.30267
SCO6326,0.1288,2.6098,0.04937
SCO6327,0.12275,2.66595,0.146695
SCO6328,0.1906,0.9562,0.19933
SCO6330,0.1774,0.1256,1.41211
SCO6331,0.1087,0.0718,1.5146
SCO6332,0.0259,0.61,0.0425
SCO6333,0.042,0.3801,0.11052
SCO6334,0.0639,0.3997,0.1598
SCO6340,0,0,0
SCO6341,0.0038,0,NA
SCO6433,0.0047,0,NA
SCO6437,0.0053,0,NA
SCO6438,0.0054,0,NA
SCO6439,0.0031,0.0144,0.2144
SCO6440,0.0037,0,NA
SCO6441,0.0021,0.0023,0.87997
SCO6444,0.003,0.0038,0.79264
SCO6447,0.0034,0,NA
SCO6451,0.0058,0.0052,1.13053
SCO6473,0,0.059,0
SCO6474,0,0,0
SCO6482,0.004,0,NA
SCO6520,0.0057,0.0038,1.50269
SCO6524,0.002,0,NA
SCO6529,0.0046,0,NA
SCO6535,0,0.0123,0
SCO6549,0,0,0
SCO6550,0,0,0
SCO6551,0.0014,0,NA
SCO6559,0,0,0
SCO6562,0.0012,0,NA
SCO6563,0,0,0
SCO6577,0.0069,0,NA
SCO6582,0.001,0.0207,0.05012
SCO6587,0.0209,0.0127,1.65175
SCO6594,0.0024,0.0308,0.07852
SCO6603,0.0015,0,NA
SCO6604,0.002,0,NA
SCO6607,0.0119,0.0074,1.6171
SCO6657,0.0046,0.0173,0.26432
SCO6666,0.0011,0.0256,0.04108
SCO6677,0.01125,0,NA
SCO6678,0,0,0
SCO6679,0.0071,0,NA
SCO6682,0,0,0
SCO6684,0.0051,0.0093,0.54274
SCO6685,0.0022,0.0079,0.27315
SCO6686,0.0043,0.0011,3.92421
SCO6709,0.0088,0,NA
SCO6739,0.0036,0,NA
SCO6752,0.0088,0,NA
SCO6767,0.0125,0.0175,0.7111
SCO6775,0,0.0483,0
SCO6780,0.0037,0,NA
SCO6781,0,0.0133,0
SCO6785,0.0042,0.0104,0.41033
SCO6796,0.004,0.0104,0.38189
SCO6805,0.0043,0,NA
SCO6955,0.0058,0.0045,1.29513
SCO6958,0.0108,0,NA
SCO6969,0,0.0033,0
SCO6971,0.0014,0,NA
SCO6996,0.0027,0,NA
SCO7000,0.0005,0.0197,0.02408
SCO7018,0.007,0.0083,0.84275
SCO7019,0.0028,0.0713,0.03997
SCO7032,0.0019,0.0799,0.02436
SCO7035,0,0.0033,0
SCO7038,0,0.0069,0
SCO7044,0.0072,0.0056,1.27998
SCO7046,0,0.0067,0
SCO7051,0,0.0048,0
SCO7054,0.0049,0.0118,0.41255
SCO7071,0,0,0
SCO7081,0,0,0
SCO7084,0,0,0
SCO7085,0,0,0
SCO7086,0,0,0
SCO7087,0.0013,0.0182,0.07202
SCO7094,0,0,0
SCO7104,0.0061,0.0148,0.41013
SCO7108,0.0015,0.0142,0.10557
SCO7110,0.0163,0.0073,2.24125
SCO7117,0,0.0088,0
SCO7121,0.0058,0,NA
SCO7126,0,0,0
SCO7127,0,0.0181,0
SCO7129,0,0.0298,0
SCO7130,0.006,0.0072,0.82562
SCO7134,0.0025,0.0052,0.48111
SCO7135,0,0.0366,0
SCO7144,0.004,0,NA
SCO7187,0.0072,0.0375,0.1922
SCO7192,0.0078,0,NA
SCO7193,0.0017,0.0028,0.6163
SCO7197,0.0014,0.0835,0.01673
SCO7202,0.0124,0.0057,2.18881
SCO7205,0.0016,0,NA
SCO7206,0.0151,0,NA
SCO7207,0.0042,0,NA
SCO7215,0.0022,0,NA
SCO7216,0.004,0,NA
SCO7222,0.0033,0.0294,0.11341
SCO7225,0.0072,0,NA
SCO7247,0.0015,0,NA
SCO7256,0,0.0467,0
SCO7257,0.002,0,NA
SCO7258,0,0.03,0
SCO7271,0.0065,0,NA
SCO7277,0.0034,0,NA
SCO7279,0,0.0135,0
SCO7280,0,0.0104,0
SCO7281,0,0.0358,0
SCO7287,0.0037,0.0136,0.27371
SCO7299,0.0082,0,NA
SCO7316,0.0034,0.0042,0.80838
SCO7330,0,0,0
SCO7336,0,0.0439,0
SCO7344,0.0014,0.0304,0.04707
SCO7361,0,0.0023,0
SCO7362,0.0011,0.0083,0.13264
SCO7363,0,0.0319,0
SCO7365,0,0.0122,0
SCO7386,0.0019,0.0153,0.12648
SCO7388,0.0026,0.0022,1.19884
SCO7412,0.0449,0.0147,3.06098
SCO7418,0.0018,0.1622,0.01107
SCO7419,0.0061,0.1801,0.03378
SCO7428,0.0024,0,NA
SCO7438,0.0064,0.0033,1.90267
SCO7440,0.0052,0,NA
SCO7444,0.003,0.0057,0.52502
SCO7458,0,0,0
SCO7461,0,0.0092,0
SCO7491,0.0018,0.0041,0.43677
SCO7492,0.0098,0,NA
SCO7508,0,0,0
SCO7509,0.0007,0.021,0.03474
SCO7510,0,0.0465,0
SCO7512,0.0023,0.0224,0.10435
SCO7513,0.0043,0.0518,0.08263
SCO7524,0.0149,0,NA
SCO7525,0.0023,0,NA
SCO7527,0.004,0,NA
SCO7537,0.0009,0.0127,0.06869
SCO7540,0.0017,0.0164,0.10331
SCO7545,0.0082,0,NA
SCO7550,0.0025,0,NA
SCO7552,0,0.0474,0
SCO7555,0.0024,0,NA
SCO7557,0,0,0
SCO7564,0.0031,0,NA
SCO7565,0.0019,0.0029,0.64824
SCO7572,0.004,0.0011,3.58877
SCO7573,0,0.0195,0
SCO7575,0,0.0556,0
SCO7577,0.0064,0.0042,1.52366
SCO7580,0.0063,0,NA
SCO7584,0.0021,0.012,0.17274
SCO7595,0.0016,0.0192,0.083
SCO7597,0.0054,0.0165,0.32695
SCO7604,0.0065,0,NA
SCO7605,0.0041,0.0325,0.12657
SCO7606,0.0128,0.0062,2.0506
SCO7608,0,0,0
SCO7609,0.0033,0.0176,0.18508
SCO7611,0.0037,0,NA
SCO7615,0.0068,0.0076,0.90113
SCO7616,0.0065,0,NA
SCO7620,0,0,0
SCO7622,0.0008,0.0315,0.02478
SCO7624,0,0.0367,0
SCO7626,0.0016,0.0189,0.08486
SCO7628,0.0056,0.0048,1.1815
SCO7635,0,0,0
SCO7638,0.0027,0.0117,0.22997
SCO7639,0.0069,0.0157,0.43916
SCO7643,0,0,0
SCO7645,0.002,0.0049,0.40911
SCO7646,0,0,0
SCO7649,0.001,0.0772,0.01301
SCO7652,0.0053,0,NA
SCO7653,0.0048,0,NA
SCO7655,0.0066,0,NA
SCO7659,0,0.0308,0
SCO7660,0,0,0
SCO7665,0,0,0
SCO7672,0.0041,0.0126,0.3235
SCO7673,0,0,0
SCO7674,0,0,0
SCO7675,0,0.0108,0
SCO7676,0.012,0,NA
SCO7677,0.0019,0,NA
SCO7678,0.0015,0.0041,0.35631
SCO7679,0.0017,0,NA
SCO7680,0.0028,0.0027,1.03153
SCO7681,0.0022,0.0142,0.15543
SCO7684,0.0109,0.0001,103.65439
SCO7686,0.0058,0,NA
SCO7687,0.0073,0,NA
SCO7688,0.0042,0,NA
SCO7689,0.0049,0.0053,0.93075
SCO7690,0.0159,0.015,1.05688
SCO7691,0.0021,0,NA
SCO7692,0,0,0
SCO7693,0,0.0162,0
SCO7694,0.0057,0,NA
SCO7695,0,0,0
SCO7696,0,0,0
SCO7697,0.0055,0.0025,2.20741
SCO7698,0,0.0239,0
SCO7699,0,0,0
SCO7700,0.0016,0,NA
SCO7701,0.0017,0,NA
SCO7702,0,0,0
SCO7703,0.0071,0,NA
SCO7704,0.0043,0.0041,1.04404
SCO7705,0.0063,0.0026,2.3847
SCO7706,0,0.0207,0
SCO7707,0.0163,0,NA
SCO7708,0.0019,0.0192,0.09831
SCO7709,0.0067,0.008,0.84075
SCO7710,0.0106,0.0078,1.35629
SCO7711,0.003,0.0077,0.38453
SCO7712,0.0116,0.0064,1.80437
SCO7714,0.0028,0.0078,0.3658
SCO7715,0.0055,0.004,1.38636
SCO7716,0,0,0
SCO7717,0.0028,0,NA
SCO7718,0.0015,0.0253,0.06125
SCO7719,0.004,0.0379,0.10458
SCO7720,0.0029,0.0032,0.89673
SCO7721,0.0143,0,NA
SCO7722,0.0107,0.005,2.1673
SCO7723,0.0053,0.0045,1.17255
SCO7727,0.005,0.0377,0.13153
SCO7728,0.0099,0.01,0.98492
SCO7729,0.00155,0,NA
SCO7730,0.0126,0.0105,1.20013
SCO7731,0.0082,0,NA
SCO7732,0.0033,0.0379,0.08683
SCO7734,0.0049,0,NA
SCO7735,0.0394,0.0252,1.56492
SCO7736,0.00825,0.03885,0.233825
SCO7737,0.0077,0.0174,0.44225
SCO7738,0.0029,0.0242,0.12189
SCO7739,0.0033,0,NA
SCO7740,0.0162,0.0695,0.23323
SCO7741,0.006,0.0333,0.18011
SCO7742,0.0154,0,NA
SCO7743,0.0059,0,NA
SCO7747,0.0059,0,NA
SCO7748,0.0019,0,NA
SCO7749,0.0014,0.006,0.23932
SCO7750,0,0,0
SCO7751,0.0033,0,NA
SCO7752,0.0022,0.0115,0.19055
SCO7753,0,0,0
SCO7754,0,0,0
SCO7755,0,0,0
SCO7756,0.0149,0,NA
SCO7759,0.0045,0,NA
SCO7760,0.0218,0.1722,0.1267
SCO7763,0.0127,0.0155,0.81971
SCO7765,0.0105,0,NA
SCO7766,0.0253,0.0036,6.98494
SCO7767,0.0069,0.0173,0.39794
SCO7768,0.0065,0.0245,0.26397
SCO7769,0.0064,0.0049,1.30691
SCO7770,0.0212,0.0475,0.44617
SCO7772,0.0087,0.075,0.11659
SCO7773,0.0154,0.0609,0.25238
SCO7774,0.0102,0.0087,1.16749
SCO7775,0.0208,0.0096,2.15995
SCO7776,0.01055,0.0191,NA
SCO7777,0.0049,0.021,0.23303
SCO7778,0.0176,0,NA
SCO7779,0,0.0316,0
SCO7780,0.0097,0.0065,1.4889
SCO7784,0.0021,0,NA
SCO7785,0.0169,0.0054,3.1285
SCO7786,0.0306,0.0711,0.4301
SCO7787,0.014,0.0141,0.9876
SCO7788,0.0193,0.0907,0.2124
SCO7790,0.0266,0.0677,0.39347
SCO7791,0.0049,0.055,0.08998
SCO7791a,0.0041,0.0304,0.1365
SCO7792,0.0041,0.0133,0.30515
SCO7793,0.0205,0.0101,2.04047
SCO7794,0.0109,0.0053,2.05681
SCO7804,0,0,0
SCO7806,0.0058,0.0203,0.28554
SCO7808,0.0134,0.0525,0.25628
SCO7809,0.0039,0.0451,0.08611
SCO7810,0.0194,0.018,1.07752
SCO7813,0.0121,0.0132,0.91641
SCO7815,0.0095,0.0045,2.11387
SCO7816,0.0062,0.0047,1.29982
SCO7817,0.0015,0.0195,0.07555
SCO7818,0.0064,0,NA
SCO7819,0.0068,0.0541,0.12575
SCO7820,0.0271,0,NA
SCO7821,0.0067,0.0181,0.37151
SCO7822,0,0.0059,0
SCO7823,0,0,0
SCO7824,0,0,0
SCO7825,0,0,0
SCO7826,0.0014,0,NA
SLI_RS00260,0.0068,0.0494,0.13734
SLI_RS00280,0.0121,0.0084,1.43799
SLI_RS00285,0.0125,0,NA
SLI_RS00290,0.0055,0.0696,0.079
SLI_RS00300,0.0056,0.0284,0.19773
SLI_RS00305,0.0086,0.0085,1.01145
SLI_RS00325,0.007,0.029,0.24222
SLI_RS00330,0.0145,0.0363,0.735935
SLI_RS00345,0.0077,0.0279,0.27481
SLI_RS00355,0.0037,0.0028,1.34351
SLI_RS00360,0.0173,0,NA
SLI_RS00365,0,0.0272,0
SLI_RS00385,0.0133,0.0235,0.841415
SLI_RS00395,0.0021,0,NA
SLI_RS00400,0.0065,0,NA
SLI_RS00410,0.007,0.0241,0.29168
SLI_RS00415,0.0027,0.0076,0.35915
SLI_RS00420,0.0019,0,NA
SLI_RS00425,0.003,0,NA
SLI_RS00435,0.0009,0.0304,0.03089
SLI_RS00445,0.0058,0.0126,0.45638
SLI_RS00455,0.0104,0.004,2.57951
SLI_RS00530,0.0014,0,NA
SLI_RS00540,0.0034,0.0014,2.40458
SLI_RS00550,0.00525,0.0331,NA
SLI_RS00555,0.0095,0,NA
SLI_RS00565,0.0014,0.0104,0.13957
SLI_RS00570,0.0118,0.0081,1.45492
SLI_RS00575,0,0,0
SLI_RS00580,0.0035,0.004,0.8715
SLI_RS00585,0,0,0
SLI_RS00600,0.0219,0.0081,2.70875
SLI_RS00605,0.0044,0.0061,0.363365
SLI_RS00615,0.0075,0.0033,1.1397
SLI_RS00620,0.0079,0,NA
SLI_RS00625,0.0077,0.0073,1.06069
SLI_RS00640,0,0,0
SLI_RS00645,0.0038,0.04645,NA
SLI_RS00650,0.0016,0.0092,0.17298
SLI_RS00665,0,0.00175,0
SLI_RS00675,0.0056,0.0046,1.20649
SLI_RS00680,0.0015,0.000666666666666667,NA
SLI_RS00685,0.0017,0.00565,NA
SLI_RS00690,0.0038,0,NA
SLI_RS00695,0,0.007,0
SLI_RS00715,0.0064,0.009,0.71379
SLI_RS00735,0,0,0
SLI_RS00740,0,0.0093,0
SLI_RS00775,0.0036,0.0067,0.53795
SLI_RS00785,0.0061,0,NA
SLI_RS00795,0.0043,0.0072,0.60685
SLI_RS00800,0.0069,0.0037,1.86842
SLI_RS00815,0.0022,0.0114,0.18892
SLI_RS00825,0.0031,0.0129,0.23986
SLI_RS00835,0.0019,0.0425,0.04452
SLI_RS00840,0.0058,0.0154,0.97503
SLI_RS00845,0.0033,0.016,0.380026666666667
SLI_RS00860,0.0014,0.0069,0.101745
SLI_RS00875,0,0.0037,0
SLI_RS00880,0.0007,0.0136,0.04795
SLI_RS00885,0.0049,0.0377,0.1313
SLI_RS00895,0,0.017,0
SLI_RS00910,0.0065,0.0084,0.77361
SLI_RS00925,0.00305,0,NA
SLI_RS00935,0.002,0.0151,0.12938
SLI_RS00945,0.0031,0,NA
SLI_RS00950,0.0063,0.0007,9.50866
SLI_RS00970,0.0031,0.00185,0.8339
SLI_RS00980,0.00345,0.00625,NA
SLI_RS00990,0,0.0075,0
SLI_RS00995,0.0073,0.0252,0.28853
SLI_RS01000,0.0156,0,NA
SLI_RS01010,0,0,0
SLI_RS01025,0,0,0
SLI_RS01030,0,0,0
SLI_RS01035,0,0,0
SLI_RS01045,0.0048,0.024,0.19944
SLI_RS01050,0.0116,0,NA
SLI_RS01055,0.0071,0,NA
SLI_RS01060,0.0031,0,NA
SLI_RS01065,0.00105,0.0262,0.0428
SLI_RS01075,0.0033,0,NA
SLI_RS01085,0.0032,0.0079,0.40714
SLI_RS01090,0.00875,0.00935,0.46684
SLI_RS01095,0.0027,0.0449,0.0598
SLI_RS01100,0.00165,0.01935,0.04837
SLI_RS01105,0.0007,0.0178,0.03749
SLI_RS01125,0.00216666666666667,0.0009,NA
SLI_RS01130,0.0012,0.00485,0.12242
SLI_RS01135,0.015,0.0032,4.71651
SLI_RS01140,0.0034,0.0327,0.10419
SLI_RS01145,0.00875,0,NA
SLI_RS01150,0.0043,0.0262,0.16349
SLI_RS01155,0.00095,0.0019,0.256185
SLI_RS01165,0.0047,0.0099,0.47974
SLI_RS01170,0.0041,0,NA
SLI_RS01175,0.0015,0.0034,0.46159
SLI_RS01180,0.0052,0.00185,NA
SLI_RS01185,0.0038,0.0022,1.70898
SLI_RS01200,0.0058,0.021,0.27651
SLI_RS01205,0.0154,0.0036,NA
SLI_RS01245,0.0022,0.0127,NA
SLI_RS01250,0.0016,0.00243333333333333,NA
SLI_RS01265,0.002,0,NA
SLI_RS01270,0,0.0013,0
SLI_RS01275,0.0017,0.0374,0.04493
SLI_RS01280,0.0048,0.0208,0.22834
SLI_RS01285,0.0102,0,NA
SLI_RS01295,0.00255,0.00415,NA
SLI_RS01300,0,0,0
SLI_RS01310,0.003,0.0286,0.10648
SLI_RS01330,0.0016,0.0041,0.38932
SLI_RS01335,0.0062,0.0027,2.27559
SLI_RS01340,0,0.0468,0
SLI_RS01345,0,0.033,0
SLI_RS01350,0.0027,0.0023,1.19367
SLI_RS01360,0.0038,0.0026,1.44696
SLI_RS01370,0.0026,0.0046,0.56578
SLI_RS01375,0.0008,0.0029,0.27109
SLI_RS01385,0,0.0038,0
SLI_RS01395,0.0007,0.0341,0.02008
SLI_RS01400,0.0027,0.0455,0.06048
SLI_RS01405,0.0038,0.0059,0.64784
SLI_RS01415,0.006,0,NA
SLI_RS01420,0.0071,0.0046,1.53403
SLI_RS01425,0.0029,0.0212,0.13596
SLI_RS01440,0.0119666666666667,0.00363333333333333,NA
SLI_RS01445,0.0029,0.008,0.36374
SLI_RS01470,0.008,0,NA
SLI_RS01475,0.0018,0.0327666666666667,NA
SLI_RS01490,0.0022,0.0383,0.05811
SLI_RS01500,0.0084,0.0059,1.42098
SLI_RS01505,0.00315,0.0165,0.46411
SLI_RS01515,0.0051,0,NA
SLI_RS01520,0.0033,0.0018,1.7798
SLI_RS01525,0.0084,0.0069,1.2156
SLI_RS01530,0.007,0,NA
SLI_RS01535,0.0133,0.0091,1.47082
SLI_RS01540,0,0,0
SLI_RS01545,0,0,0
SLI_RS01555,0,0,0
SLI_RS01560,0,0.0112,0
SLI_RS01570,0.0014,0.0086,0.15869
SLI_RS01575,0.0093,0.00155,NA
SLI_RS01585,0.0045,0.00315,NA
SLI_RS01590,0.0093,0.0167,0.55932
SLI_RS01615,0.0026,0.0345,0.07661
SLI_RS01660,0.0013,0.031,0.04224
SLI_RS01675,0.0007,0.0233,0.03176
SLI_RS01705,0.0055,0,NA
SLI_RS01715,0,0.0504,0
SLI_RS01725,0.0081,0.0017,4.81251
SLI_RS01730,0.0077,0.008,0.96135
SLI_RS01735,0.003,0,NA
SLI_RS01740,0.000733333333333333,0.00106666666666667,NA
SLI_RS01745,0.0063,0.007,0.89487
SLI_RS01750,0.0069,0.0016,4.20405
SLI_RS01775,0.0061,0.0046,1.31155
SLI_RS01785,0.003,0.0037,0.80236
SLI_RS01795,0.0039,0.0022,1.78521
SLI_RS01805,0.0022,0.0033,0.65437
SLI_RS01820,0.00215,0,NA
SLI_RS01825,0,0,0
SLI_RS01830,0.0013,0,NA
SLI_RS01835,0.0012,0,NA
SLI_RS01840,0.0016,0.0062,0.2649
SLI_RS01845,0.0036,0.0028,1.30388
SLI_RS01850,0.008,0,NA
SLI_RS01855,0.0057,0,NA
SLI_RS01860,0.0014,0,NA
SLI_RS01865,0.00366666666666667,0.0098,0.707863333333333
SLI_RS01870,0.0035,0.007,0.577335
SLI_RS01875,0.0019,0.0046,0.41943
SLI_RS01885,0,0.0308,0
SLI_RS01890,0.0083,0,NA
SLI_RS01895,0.006,0.0208,0.2902
SLI_RS01900,0.0024,0.0156333333333333,0.278023333333333
SLI_RS01905,0.0029,0.111,0.02632
SLI_RS01910,0.0181,0.0019,9.61658
SLI_RS01915,0,0.0052,0
SLI_RS01920,0,0,0
SLI_RS01925,0,0,0
SLI_RS01950,0,0.0143,0
SLI_RS01955,0.0009,0.00175,0.25734
SLI_RS01960,0.0054,0.0128,0.41969
SLI_RS01970,0.00165,0.0042,NA
SLI_RS01975,0.0017,0.0075,0.22491
SLI_RS01995,0.0043,0,NA
SLI_RS02010,0.0056,0,NA
SLI_RS02020,0.00325,0.003575,NA
SLI_RS02030,0,0.0066,0
SLI_RS02035,0.0045,0.0144,0.80109
SLI_RS02040,0.003175,0.016025,NA
SLI_RS02045,0.00225,0,NA
SLI_RS02050,0.0039,0.0032,1.21362
SLI_RS02055,0.0041,0.0102,0.40065
SLI_RS02060,0.0101,0.0028,3.60213
SLI_RS02070,0.0061,0,NA
SLI_RS02075,0.0095,0,NA
SLI_RS02085,0.002,0.0124,0.20217
SLI_RS02095,0.0024,0.0151,0.15963
SLI_RS02100,0.0007,0.0239,0.02832
SLI_RS02105,0.003125,0.006625,NA
SLI_RS02110,0.0057,0,NA
SLI_RS02115,0.0045,0.0083,0.54475
SLI_RS02125,0.005,0.0145,0.518345
SLI_RS02135,0.0023,0.0202,0.11386
SLI_RS02145,0.0018,0.0078,0.23057
SLI_RS02175,0.0056,0,NA
SLI_RS02180,0,0,0
SLI_RS02185,0,0,0
SLI_RS02195,0,0.0068,0
SLI_RS02200,0,0,0
SLI_RS02205,0,0,0
SLI_RS02220,0.0039,0.0019,2.02879
SLI_RS02230,0.00195,0.00495,0.198255
SLI_RS02240,0.0035,0.0658,0.0526
SLI_RS02285,0,0.0083,0
SLI_RS02295,0.00065,0.0146,0.02974
SLI_RS02300,0.0016,0.03005,0.052955
SLI_RS02305,0.0044,0.008475,NA
SLI_RS02315,0.0037,0.00815,NA
SLI_RS02325,0.0043,0.0026,1.66132
SLI_RS02335,0.0022,0.0025,0.87898
SLI_RS02350,0.0019,0,NA
SLI_RS02355,0.00465,0.00185,NA
SLI_RS02370,0.0011,0,NA
SLI_RS02375,0.0065,0.0164,0.39575
SLI_RS02390,0.0049,0.0065,NA
SLI_RS02395,0.00185,0.0065,NA
SLI_RS02400,0,0.004,0
SLI_RS02410,0.0047,0,NA
SLI_RS02420,0,0.0001,0
SLI_RS02430,0.0042,0,NA
SLI_RS02435,0.0007,0.0292,0.02553
SLI_RS02440,0,0.0107,0
SLI_RS02445,0.0022,0.0056,0.39747
SLI_RS02450,0,0,0
SLI_RS02455,0.0081,0,NA
SLI_RS02465,0.0044,0.0022,2.01455
SLI_RS02475,0.00255,0,NA
SLI_RS02480,0.0033,0,NA
SLI_RS02485,0.0044,0.0048,0.92962
SLI_RS02490,0.0019,0,NA
SLI_RS02495,0.0025,0,NA
SLI_RS02515,0.0043,0.0016,2.67506
SLI_RS02520,0.0014,0.0022,0.64314
SLI_RS02540,0.0048,0,NA
SLI_RS02575,0.00215,0.0049,0.217415
SLI_RS02585,0,0,0
SLI_RS02590,0.0037,0.0058,0.63876
SLI_RS02595,0.0026,0.0244,0.10671
SLI_RS02600,0.0016,0.0275,0.05953
SLI_RS02610,0.0031,0.0223,0.13906
SLI_RS02620,0.0014,0.0414,0.03471
SLI_RS02650,0,0,0
SLI_RS02655,0.0005,0.036,0.01326
SLI_RS02660,0,0,0
SLI_RS02665,0,0.0195,0
SLI_RS02675,0,0.015,0
SLI_RS02690,0.0011,0.0337,0.03136
SLI_RS02695,0,0,0
SLI_RS02700,0.0032,0.1682,0.01913
SLI_RS02705,0.0008,0.0336,0.02403
SLI_RS02710,0.0019,0.01045,NA
SLI_RS02715,0.0057,0.05115,1.18919
SLI_RS02725,0.0016,0.017,0.09159
SLI_RS02755,0.00225,0.00255,NA
SLI_RS02765,0.0009,0.0118,0.07298
SLI_RS02770,0,0.0516,0
SLI_RS02775,0,0,0
SLI_RS02785,0.0013,0.017,0.07588
